start-page,end-page,title,composer,reference
4,4,After you've gone,Creamer & Layton,Django Fakebook 2008
5,5,Ain't misbehavin',Fats Waller,Django Fakebook 2008
6,6,Alemberts,Henri Crolla,Django Fakebook 2008
7,7,Alors?...voila!,Romane,Django Fakebook 2008
8,8,Anniversary song,Ion Ivanovici,Django Fakebook 2008
9,9,Anouman,Django,Django Fakebook 2008
10,10,Appel indirect,Django,Django Fakebook 2008
11,11,Are you in the mood,Django,Django Fakebook 2008
12,12,Artillerie lourde,Django,Django Fakebook 2008
13,13,Avalon,Vincent Rose,Django Fakebook 2008
14,14,Babik,Django,Django Fakebook 2008
15,15,Bei dir war immer so schon,Emil Stern,Django Fakebook 2008
16,16,Bei mir bist du schon,Shalom Secunda,Django Fakebook 2008
17,17,Belleville,Django,Django Fakebook 2008
18,18,Belleville rendez-vous,Charest & Chomet,Django Fakebook 2008
19,19,Black and white,Django,Django Fakebook 2008
20,20,Blue drag,Joe Myrow,Django Fakebook 2008
21,21,Blues en mineur,Django,Django Fakebook 2008
22,22,Blues for Ike,Django,Django Fakebook 2008
23,23,Blue skies,Irving Berlin,Django Fakebook 2008
24,24,Body and soul,Heyman Sour Eyton & Green,Django Fakebook 2008
25,25,Bossa Dorado,Dorado Schmitt,Django Fakebook 2008
26,26,Boum!,Charles Trenet,Django Fakebook 2008
27,27,Brazil,Ary Barosso,Django Fakebook 2008
28,29,Brise Napolitaine,Guerino & Peyronnin,Django Fakebook 2008
30,30,Cantina band,John Williams,Django Fakebook 2008
31,31,Caravan,Juan Tizol,Django Fakebook 2008
32,32,Cavalerie,Django,Django Fakebook 2008
33,33,C'est si bon,Betti & Hornez,Django Fakebook 2008
34,34,Charleston,Johnson & Django,Django Fakebook 2008
35,36,Chez Jacquet,Django,Django Fakebook 2008
37,37,Chicago,Fred Fisher,Django Fakebook 2008
38,38,China boy,Phil Boutelje,Django Fakebook 2008
39,39,"Chinatown, my Chinatown",Jerome & Schwartz,Django Fakebook 2008
40,40,Clair de lune,Joseph Kosma,Django Fakebook 2008
41,41,Confessin',Neiberg Daugherty & Reynolds,Django Fakebook 2008
42,42,Continental,Conrad & Magidson,Django Fakebook 2008
43,43,Coquette,Green Kahn & Lombardo,Django Fakebook 2008
44,44,Crazy rhythm,Meyer Ceasar & Khan,Django Fakebook 2008
45,45,Crepuscule,Django,Django Fakebook 2008
46,46,Danse Norvegienne,Edward Grieg,Django Fakebook 2008
