start-page,end-page,title,reference,key
4,4,All Of Me,Django in June 2nd Edition,C
5,5,Bossa Dorado,Django in June 2nd Edition,Dm
6,6,Bossa Dorado,Django in June 2nd Edition,Em
7,7,Coquette,Django in June 2nd Edition,D
8,8,Daphne,Django in June 2nd Edition,D
9,9,Dark Eyes (Les Yeux Noirs),Django in June 2nd Edition,Dm
10,10,Djangology,Django in June 2nd Edition,G
11,11,Douce Ambiance,Django in June 2nd Edition,Gm
12,12,Honeysuckle Rose,Django in June 2nd Edition,F
13,13,I Can't Give You Anything But Love,Django in June 2nd Edition,G
14,14,I'll See You in My Dreams,Django in June 2nd Edition,F
15,15,It Had to be You,Django in June 2nd Edition,G
16,16,J'Attendrai,Django in June 2nd Edition,C
17,17,Je Suis Seul ce Soir,Django in June 2nd Edition,C
18,18,Joseph Joseph (modern),Django in June 2nd Edition,Am
19,19,Joseph Joseph (trad),Django in June 2nd Edition,Am
20,20,Lady be Good,Django in June 2nd Edition,G
21,21,Manoir de Mes Reves,Django in June 2nd Edition,D
22,22,Minor Blues (Blues en Mineur),Django in June 2nd Edition,Gm
23,23,Minor Blues (simplified),Django in June 2nd Edition,Gm
24,24,Minor Blues (Blues en Mineur),Django in June 2nd Edition,Gm
25,25,Minor Swing,Django in June 2nd Edition,Am
26,26,Nuages,Django in June 2nd Edition,Bbm
27,27,Sweet Georgia Brown,Django in June 2nd Edition,G
28,29,Swing 39,Django in June 2nd Edition,G
30,30,Swing 42,Django in June 2nd Edition,C
31,31,Troublant Bolero,Django in June 2nd Edition,E
32,32,What it This Thing Called Love,Django in June 2nd Edition,C
35,35,Are You in the Mood,Django in June 1st Edition,G
36,36,Dinette,Django in June 1st Edition,Ab
37,37,Double Whiskey (Double Scotch),Django in June 1st Edition,C
38,38,Exactly Like You,Django in June 1st Edition,C
39,40,For Sephora,Django in June 1st Edition,Em
41,41,"I've Found a New Baby",Django in June 1st Edition,Dm
42,42,Night and Day,Django in June 1st Edition,D
43,43,Rose Room,Django in June 1st Edition,F
44,44,Swing Gitan (modern),Django in June 1st Edition,Gm
45,45,Swing Gitan (trad),Django in June 1st Edition,Gm
46,46,Tears,Django in June 1st Edition,Eb
47,47,Bei Dir War Es Immer So Schon,Django in June Tier-2,G 
48,48,Black and White,Django in June Tier-2,C
49,50,Irisha,Django in June Tier-2,C
51,52,Mut Mur Geige,Django in June Tier-2,Am
53,53,Time on My Hands,Django in June Tier-2,F
54,54,Topsy (django),Django in June Tier-2,Cm
55,55,Topsy (count basie),Django in June Tier-2,Cm
