start-page,end-page,title,reference
1,1,All Of Me,Django in June (bass)
2,2,Bei Dir War Es Immer So Schon,Django in June (bass)
3,3,Black and White,Django in June (bass)
4,4,Bossa Dorado,Django in June (bass)
5,5,Coquette,Django in June (bass)
6,6,Daphne,Django in June (bass)
7,7,Dark Eyes (Les Yeux Noirs),Django in June (bass)
8,8,Djangology,Django in June (bass)
9,9,Douce Ambiance,Django in June (bass)
10,10,Honeysuckle Rose,Django in June (bass)
11,11,I Can't Give You Anything But Love,Django in June (bass)
12,12,I'll See You in My Dreams,Django in June (bass)
13,14,Irisha,Django in June (bass)
15,15,It Had to be You,Django in June (bass)
16,16,J'Attendrai,Django in June (bass)
17,17,Joseph Joseph (modern),Django in June (bass)
18,18,Manoir de Mes Reves,Django in June (bass)
19,19,Minor Blues (Blues en Mineur),Django in June (bass)
20,20,Minor Swing,Django in June (bass)
21,22,Mut Mur Geige,Django in June (bass)
23,23,Je Suis Seul ce Soir,Django in June (bass)
24,24,Sweet Chorus,Django in June (bass)
25,26,Swing 39,Django in June (bass)
27,27,Time on My Hands,Django in June (bass)
28,28,Topsy (django),Django in June (bass)
29,29,Troublant Bolero,Django in June (bass)
30,30,What a Difference a Day Made,Django in June (bass)
