start-page,end-page,title,composer,reference
1,1,A Beautiful Moment,Ed Pepe,Ed's Book
2,2,All Blues,Miles Davis,Ed's Book
3,4,Autumn Leaves,Johnny Mercer,Ed's Book
5,5,The Best is Yet To Come,Cy Colement,Ed's Book
6,7,Can't Buy Me Love,The Beatles,Ed's Book
8,8,Chameleon,Herbie Hancock,Ed's Book
9,10,East of the Sun,Brooks Bowman,Ed's Book
11,12,Every Day I have the Blues,,Ed's Book
13,13,Hassan's Dream,Benny Golson,Ed's Book
14,15,Just Friends,Klemmer,Ed's Book
16,17,Just in Time,"Comden, Green, Styne",Ed's Book
18,18,Key to the Highway,Big Bill Broonzy,Ed's Book
19,19,Killer Joe,Benny Golson,Ed's Book
20,20,Lonnie's Lament,John Coltrane,Ed's Book
21,21,My Favorite Things,Richard Rodgers,Ed's Book
22,23,Round Midnight,Thelonious Monk,Ed's Book
24,25,Ruby Baby,,Ed's Book
26,26,Song for My Father,Horace Silver,Ed's Book
27,28,So Nice,Marcos Valle,Ed's Book
29,30,Summertime,George Gershwin,Ed's Book
31,32,Sway,Pablo Beltran,Ed's Book
33,34,The Sky is Crying,Elmore James,Ed's Book
35,36,The Thrill is Gone,Muddy Waters,Ed's Book
37,38,Twisted,,Ed's Book
39,40,Unchain My Heart,Bobby Sharp,Ed's Book
41,41,Watermelon Man,Herbie Hancock,Ed's Book
42,42,Wave,,Ed's Book
43,43,Weddies Blues,,Ed's Book
44,44,You'd Be So Nice to Come Home To,Cole Porter,Ed's Book
